{X=8, Y=96}
{X=88, Y=168}
{X=16, Y=96}
{X=91, Y=139}
{X=24, Y=96}
{X=213, Y=55}
{X=32, Y=96}
{X=137, Y=44}
{X=40, Y=96}
{X=216, Y=55}
{X=48, Y=96}
{X=91, Y=136}
{X=56, Y=96}
{X=100, Y=137}
{X=64, Y=96}
{X=99, Y=208}
{X=72, Y=96}
{X=139, Y=56}
{X=80, Y=96}
{X=167, Y=23}
{X=88, Y=96}
{X=170, Y=0}
{X=96, Y=96}
{X=92, Y=46}
{X=104, Y=96}
{X=220, Y=136}
{X=112, Y=96}
{X=84, Y=120}
{X=120, Y=96}
{X=89, Y=91}
{X=128, Y=96}
{X=84, Y=4}
{X=136, Y=96}
{X=100, Y=79}
{X=144, Y=96}
{X=194, Y=100}
{X=152, Y=96}
{X=244, Y=53}
{X=160, Y=96}
{X=214, Y=151}
{X=168, Y=96}
{X=118, Y=20}
{X=176, Y=96}
{X=125, Y=23}
{X=184, Y=96}
{X=80, Y=105}
{X=192, Y=96}
{X=56, Y=150}
{X=200, Y=96}
{X=113, Y=135}
{X=208, Y=96}
{X=191, Y=61}
{X=216, Y=96}
{X=172, Y=186}
{X=224, Y=96}
{X=240, Y=68}
{X=232, Y=96}
{X=104, Y=129}
{X=240, Y=96}
{X=155, Y=220}
{X=248, Y=96}
{X=210, Y=15}
{X=0, Y=104}
{X=170, Y=31}
{X=8, Y=104}
{X=133, Y=56}
{X=16, Y=104}
{X=98, Y=57}
{X=24, Y=104}
{X=140, Y=35}
{X=32, Y=104}
{X=37, Y=199}
{X=40, Y=104}
{X=116, Y=90}
{X=48, Y=104}
{X=59, Y=202}
{X=56, Y=104}
{X=19, Y=46}
{X=64, Y=104}
{X=201, Y=95}
{X=72, Y=104}
{X=208, Y=238}
{X=80, Y=104}
{X=86, Y=67}
{X=88, Y=104}
{X=188, Y=52}
{X=96, Y=104}
{X=87, Y=72}
{X=104, Y=104}
{X=183, Y=182}
{X=112, Y=104}
{X=49, Y=123}
{X=120, Y=104}
{X=89, Y=84}
{X=128, Y=104}
{X=205, Y=133}
{X=136, Y=104}
{X=245, Y=134}
